Season,Name,Nationality,Type,Team,Price
2023,Ajinkya Rahane ,Indian ,Batter , Chennai Super Kings,"50,00,000 "
2023,Bhagath Varma ,Indian ,All-Rounder , Chennai Super Kings,"20,00,000 "
2023,Kyle Jamieson ,Overseas ,Bowler , Chennai Super Kings,"1,00,00,000 "
2023,Ajay Mandal ,Indian ,All-Rounder , Chennai Super Kings,"20,00,000 "
2023,Nishant Sindhu ,Indian ,All-Rounder , Chennai Super Kings,"60,00,000 "
2023,Shaik Rasheed ,Indian ,Batter , Chennai Super Kings,"20,00,000 "
2023,Ben Stokes ,Overseas ,All-Rounder , Chennai Super Kings,"16,25,00,000 "
2023,Phil Salt ,Overseas ,Wicket-Keeper , Delhi Capitals,"2,00,00,000 "
2023,Ishant Sharma ,Indian ,Bowler , Delhi Capitals,"50,00,000 "
2023,Rilee Rossouw ,Overseas ,Batter , Delhi Capitals,"4,60,00,000 "
2023,Manish Pandey ,Indian ,Batter , Delhi Capitals,"2,40,00,000 "
2023,Mukesh Kumar ,Indian ,Bowler , Delhi Capitals,"5,50,00,000 "
2023,Shivam Mavi ,Indian ,Bowler , Gujarat Titans,"6,00,00,000 "
2023,K.S. Bharat ,Indian ,Wicket-Keeper , Gujarat Titans,"1,20,00,000 "
2023,Urvil Patel ,Indian ,Wicket-Keeper , Gujarat Titans,"20,00,000 "
2023,Mohit Sharma ,Indian ,Bowler , Gujarat Titans,"50,00,000 "
2023,Joshua Little ,Overseas ,Bowler , Gujarat Titans,"4,40,00,000 "
2023,Kane Williamson ,Overseas ,Batter , Gujarat Titans,"2,00,00,000 "
2023,Odean Smith ,Overseas ,All-Rounder , Gujarat Titans,"50,00,000 "
2023,Kulwant Khejroliya ,Indian ,Bowler , Kolkata Knight Riders,"20,00,000 "
2023,Shakib Al Hasan ,Overseas ,All-Rounder , Kolkata Knight Riders,"1,50,00,000 "
2023,Vaibhav Arora ,Indian ,Bowler , Kolkata Knight Riders,"60,00,000 "
2023,N. Jagadeesan ,Indian ,Wicket-Keeper , Kolkata Knight Riders,"90,00,000 "
2023,David Wiese ,Overseas ,All-Rounder , Kolkata Knight Riders,"1,00,00,000 "
2023,Mandeep Singh ,Indian ,Batter , Kolkata Knight Riders,"50,00,000 "
2023,Litton Das ,Overseas ,Wicket-Keeper , Kolkata Knight Riders,"50,00,000 "
2023,Suyash Sharma ,Indian ,Bowler , Kolkata Knight Riders,"20,00,000 "
2023,Amit Mishra ,Indian ,Bowler , Lucknow Super Giants,"50,00,000 "
2023,Nicholas Pooran ,Overseas ,Wicket-Keeper , Lucknow Super Giants,"16,00,00,000 "
2023,Romario Shepherd ,Overseas ,All-Rounder , Lucknow Super Giants,"50,00,000 "
2023,Daniel Sams ,Overseas ,All-Rounder , Lucknow Super Giants,"75,00,000 "
2023,Swapnil Singh ,Indian ,All-Rounder , Lucknow Super Giants,"20,00,000 "
2023,Yudhvir Charak ,Indian ,All-Rounder , Lucknow Super Giants,"20,00,000 "
2023,Prerak Mankad ,Indian ,All-Rounder , Lucknow Super Giants,"20,00,000 "
2023,Yash Thakur ,Indian ,Bowler , Lucknow Super Giants,"45,00,000 "
2023,Naveen Ul Haq ,Overseas ,Bowler , Lucknow Super Giants,"50,00,000 "
2023,Jaydev Unadkat ,Indian ,Bowler , Lucknow Super Giants,"50,00,000 "
2023,Jhye Richardson ,Overseas ,Bowler , Mumbai Indians,"1,50,00,000 "
2023,Nehal Wadhera ,Indian ,All-Rounder , Mumbai Indians,"20,00,000 "
2023,Raghav Goyal ,Indian ,Bowler , Mumbai Indians,"20,00,000 "
2023,Cameron Green ,Overseas ,All-Rounder , Mumbai Indians,"17,50,00,000 "
2023,Vishnu Vinod ,Indian ,Wicket-Keeper , Mumbai Indians,"20,00,000 "
2023,Duan Jansen ,Overseas ,All-Rounder , Mumbai Indians,"20,00,000 "
2023,Piyush Chawla ,Indian ,Bowler , Mumbai Indians,"50,00,000 "
2023,Shams Mulani ,Indian ,All-Rounder , Mumbai Indians,"20,00,000 "
2023,Harpreet Bhatia ,Indian ,Batter , Punjab Kings,"40,00,000 "
2023,Shivam Singh ,Indian ,All-Rounder , Punjab Kings,"20,00,000 "
2023,Vidwath Kaverappa ,Indian ,Bowler , Punjab Kings,"20,00,000 "
2023,Mohit Rathee ,Indian ,All-Rounder , Punjab Kings,"20,00,000 "
2023,Sam Curran ,Overseas ,All-Rounder , Punjab Kings,"18,50,00,000 "
2023,Sikandar Raza ,Overseas ,All-Rounder , Punjab Kings,"50,00,000 "
2023,Jason Holder ,Overseas ,All-Rounder , Rajasthan Royals,"5,75,00,000 "
2023,Adam Zampa ,Overseas ,Bowler , Rajasthan Royals,"1,50,00,000 "
2023,Abdul P A ,Indian ,All-Rounder , Rajasthan Royals,"20,00,000 "
2023,Akash Vashisht ,Indian ,All-Rounder , Rajasthan Royals,"20,00,000 "
2023,Donovan Ferreira ,Overseas ,Wicket-Keeper , Rajasthan Royals,"50,00,000 "
2023,Kunal Rathore ,Indian ,Wicket-Keeper , Rajasthan Royals,"20,00,000 "
2023,Joe Root ,Overseas ,Batter , Rajasthan Royals,"1,00,00,000 "
2023,Murugan Ashwin ,Indian ,Bowler , Rajasthan Royals,"20,00,000 "
2023,K.M. Asif ,Indian ,Bowler , Rajasthan Royals,"30,00,000 "
2023,Sonu Yadav ,Indian ,All-Rounder , Royal Challengers Bangalore,"20,00,000 "
2023,Himanshu Sharma ,Indian ,Bowler , Royal Challengers Bangalore,"20,00,000 "
2023,Avinash Singh ,Indian ,Bowler , Royal Challengers Bangalore,"60,00,000 "
2023,Manoj Bhandage ,Indian ,All-Rounder , Royal Challengers Bangalore,"20,00,000 "
2023,Will Jacks ,Overseas ,Batter , Royal Challengers Bangalore,"3,20,00,000 "
2023,Reece Topley ,Overseas ,Bowler , Royal Challengers Bangalore,"1,90,00,000 "
2023,Rajan Kumar ,Indian ,Bowler , Royal Challengers Bangalore,"70,00,000 "
2023,Sanvir Singh ,Indian ,All-Rounder , Sunrisers Hyderabad,"20,00,000 "
2023,Harry Brook ,Overseas ,Batter , Sunrisers Hyderabad,"13,25,00,000 "
2023,Heinrich Klaasen ,Overseas ,Wicket-Keeper , Sunrisers Hyderabad,"5,25,00,000 "
2023,Akeal Hosein ,Overseas ,Bowler , Sunrisers Hyderabad,"1,00,00,000 "
2023,Mayank Markande ,Indian ,Bowler , Sunrisers Hyderabad,"50,00,000 "
2023,Adil Rashid ,Overseas ,Bowler , Sunrisers Hyderabad,"2,00,00,000 "
2023,Anmolpreet Singh ,Indian ,Batter , Sunrisers Hyderabad,"20,00,000 "
2023,Vivrant Sharma ,Indian ,All-Rounder , Sunrisers Hyderabad,"2,60,00,000 "
2023,Samarth Vyas ,Indian ,All-Rounder , Sunrisers Hyderabad,"20,00,000 "
2023,Upendra Singh Yadav ,Indian ,Wicket-Keeper , Sunrisers Hyderabad,"25,00,000 "
2023,Nitish Kumar Reddy ,Indian ,Wicket-Keeper , Sunrisers Hyderabad,"20,00,000 "
2023,Mayank Agarwal ,Indian ,Batter , Sunrisers Hyderabad,"8,25,00,000 "
2023,Mayank Dagar ,Indian ,All-Rounder , Sunrisers Hyderabad,"1,80,00,000 "
2022,Robin Uthappa ,Indian ,Batsman , Chennai Super Kings,"2,00,00,000 "
2022,Dwayne Bravo ,Overseas ,All-Rounder , Chennai Super Kings,"4,40,00,000 "
2022,Ambati Rayudu ,Indian ,Wicket Keeper , Chennai Super Kings,"6,75,00,000 "
2022,Deepak Chahar ,Indian ,Bowler , Chennai Super Kings,"14,00,00,000 "
2022,C.Hari Nishaanth ,Indian ,Batsman , Chennai Super Kings,"20,00,000 "
2022,N. Jagadeesan ,Indian ,Wicket Keeper , Chennai Super Kings,"20,00,000 "
2022,K.M. Asif ,Indian ,Bowler , Chennai Super Kings,"20,00,000 "
2022,Tushar Deshpande ,Indian ,Bowler , Chennai Super Kings,"20,00,000 "
2022,Shivam Dube ,Indian ,All-Rounder , Chennai Super Kings,"4,00,00,000 "
2022,Chris Jordan ,Overseas ,All-Rounder , Chennai Super Kings,"3,60,00,000 "
2022,Maheesh Theekshana ,Overseas ,Bowler , Chennai Super Kings,"70,00,000 "
2022,Rajvardhan Hangargekar ,Indian ,All-Rounder , Chennai Super Kings,"1,50,00,000 "
2022,Simarjeet Singh ,Indian ,Bowler , Chennai Super Kings,"20,00,000 "
2022,Devon Conway ,Overseas ,Batsman , Chennai Super Kings,"1,00,00,000 "
2022,Dwaine Pretorius ,Overseas ,All-Rounder , Chennai Super Kings,"50,00,000 "
2022,Mitchell Santner ,Overseas ,All-Rounder , Chennai Super Kings,"1,90,00,000 "
2022,Adam Milne ,Overseas ,Bowler , Chennai Super Kings,"1,90,00,000 "
2022,Subhranshu Senapati ,Indian ,Batsman , Chennai Super Kings,"20,00,000 "
2022,Mukesh Choudhary ,Indian ,Bowler , Chennai Super Kings,"20,00,000 "
2022,Prashant Solanki ,Indian ,Bowler , Chennai Super Kings,"1,20,00,000 "
2022,K.Bhagath Varma ,Indian ,All-Rounder , Chennai Super Kings,"20,00,000 "
2022,David Warner ,Overseas ,Batsman , Delhi Capitals,"6,25,00,000 "
2022,Mitchell Marsh ,Overseas ,All-Rounder , Delhi Capitals,"6,50,00,000 "
2022,Mustafizur Rahman ,Overseas ,Bowler , Delhi Capitals,"2,00,00,000 "
2022,Shardul Thakur ,Indian ,Bowler , Delhi Capitals,"10,75,00,000 "
2022,Kuldeep Yadav ,Indian ,Bowler , Delhi Capitals,"2,00,00,000 "
2022,Ashwin Hebbar ,Indian ,Batsman , Delhi Capitals,"20,00,000 "
2022,Sarfaraz Khan ,Indian ,All-Rounder , Delhi Capitals,"20,00,000 "
2022,Kamlesh Nagarkoti ,Indian ,All-Rounder , Delhi Capitals,"1,10,00,000 "
2022,K.S. Bharat ,Indian ,Wicket Keeper , Delhi Capitals,"2,00,00,000 "
2022,Mandeep Singh ,Indian ,Batsman , Delhi Capitals,"1,10,00,000 "
2022,Syed Khaleel Ahmed ,Indian ,Bowler , Delhi Capitals,"5,25,00,000 "
2022,Lungisani Ngidi ,Overseas ,Bowler , Delhi Capitals,"50,00,000 "
2022,Chetan Sakariya ,Indian ,Bowler , Delhi Capitals,"4,20,00,000 "
2022,Yash Dhull ,Indian ,All-Rounder , Delhi Capitals,"50,00,000 "
2022,Vicky Ostwal ,Indian ,All-Rounder , Delhi Capitals,"20,00,000 "
2022,Ripal Patel ,Indian ,All-Rounder , Delhi Capitals,"20,00,000 "
2022,Lalit Yadav ,Indian ,All-Rounder , Delhi Capitals,"65,00,000 "
2022,Rovman Powell ,Overseas ,Batsman , Delhi Capitals,"2,80,00,000 "
2022,Tim Seifert ,Overseas ,Wicket Keeper , Delhi Capitals,"50,00,000 "
2022,Pravin Dubey ,Indian ,All-Rounder , Delhi Capitals,"50,00,000 "
2022,Mohammad Shami ,Indian ,Bowler , Gujarat Titans,"6,25,00,000 "
2022,David Miller ,Overseas ,Batsman , Gujarat Titans,"3,00,00,000 "
2022,Jason Roy  ,Overseas ,Batsman , Gujarat Titans,"2,00,00,000 "
2022,Wriddhiman  Saha ,Indian ,Wicket Keeper , Gujarat Titans,"1,90,00,000 "
2022,Matthew Wade ,Overseas ,Wicket Keeper , Gujarat Titans,"2,40,00,000 "
2022,Lockie Ferguson ,Overseas ,Bowler , Gujarat Titans,"10,00,00,000 "
2022,Abhinav Sadarangani ,Indian ,Batsman , Gujarat Titans,"2,60,00,000 "
2022,Rahul Tewatia ,Indian ,All-Rounder , Gujarat Titans,"9,00,00,000 "
2022,Noor  Ahmad ,Overseas ,Bowler , Gujarat Titans,"30,00,000 "
2022,R. Sai Kishore ,Indian ,Bowler , Gujarat Titans,"3,00,00,000 "
2022,Dominic Drakes ,Overseas ,All-Rounder , Gujarat Titans,"1,10,00,000 "
2022,Vijay Shankar ,Indian ,All-Rounder , Gujarat Titans,"1,40,00,000 "
2022,Jayant Yadav ,Indian ,All-Rounder , Gujarat Titans,"1,70,00,000 "
2022,Darshan Nalkande ,Indian ,All-Rounder , Gujarat Titans,"20,00,000 "
2022,Yash  Dayal ,Indian ,Bowler , Gujarat Titans,"3,20,00,000 "
2022,B. Sai Sudharsan ,Indian ,All-Rounder , Gujarat Titans,"20,00,000 "
2022,Gurkeerat Singh ,Indian ,All-Rounder , Gujarat Titans,"50,00,000 "
2022,Alzarri Joseph ,Overseas ,Bowler , Gujarat Titans,"2,40,00,000 "
2022,Varun Aaron ,Indian ,Bowler , Gujarat Titans,"50,00,000 "
2022,Pradeep Sangwan ,Indian ,All-Rounder , Gujarat Titans,"20,00,000 "
2022,Pat Cummins ,Overseas ,All-Rounder , Kolkata Knight Riders,"7,25,00,000 "
2022,Shreyas Iyer ,Indian ,Batsman , Kolkata Knight Riders,"12,25,00,000 "
2022,Mohammad  Nabi ,Overseas ,All-Rounder , Kolkata Knight Riders,"1,00,00,000 "
2022,Nitish Rana ,Indian ,All-Rounder , Kolkata Knight Riders,"8,00,00,000 "
2022,Sam Billings  ,Overseas ,Wicket Keeper , Kolkata Knight Riders,"2,00,00,000 "
2022,Umesh Yadav ,Indian ,Bowler , Kolkata Knight Riders,"2,00,00,000 "
2022,Shivam  Mavi ,Indian ,All-Rounder , Kolkata Knight Riders,"7,25,00,000 "
2022,Sheldon Jackson ,Indian ,Wicket Keeper , Kolkata Knight Riders,"60,00,000 "
2022,Ajinkya Rahane ,Indian ,Batsman , Kolkata Knight Riders,"1,00,00,000 "
2022,Rinku Singh ,Indian ,Batsman , Kolkata Knight Riders,"55,00,000 "
2022,Anukul Roy ,Indian ,All-Rounder , Kolkata Knight Riders,"20,00,000 "
2022,Alex Hales  ,Overseas ,Batsman , Kolkata Knight Riders,"1,50,00,000 "
2022,Rasikh Dar ,Indian ,Bowler , Kolkata Knight Riders,"20,00,000 "
2022,Tim Southee ,Overseas ,Bowler , Kolkata Knight Riders,"1,50,00,000 "
2022,Baba Indrajith ,Indian ,Wicket Keeper , Kolkata Knight Riders,"20,00,000 "
2022,Chamika Karunaratne ,Overseas ,All-Rounder , Kolkata Knight Riders,"50,00,000 "
2022,Abhijeet Tomar ,Indian ,Batsman , Kolkata Knight Riders,"40,00,000 "
2022,Aman Khan ,Indian ,All-Rounder , Kolkata Knight Riders,"20,00,000 "
2022,Ramesh Kumar ,Indian ,Batsman , Kolkata Knight Riders,"20,00,000 "
2022,Pratham Singh ,Indian ,Batsman , Kolkata Knight Riders,"20,00,000 "
2022,Ashok Sharma ,Indian ,Bowler , Kolkata Knight Riders,"55,00,000 "
2022,Quinton De Kock ,Overseas ,Wicket Keeper , Lucknow Super Giants,"6,75,00,000 "
2022,Manish Pandey ,Indian ,Batsman , Lucknow Super Giants,"4,60,00,000 "
2022,Krunal Pandya ,Indian ,All-Rounder , Lucknow Super Giants,"8,25,00,000 "
2022,Mark Wood ,Overseas ,Bowler , Lucknow Super Giants,"7,50,00,000 "
2022,Avesh Khan ,Indian ,Bowler , Lucknow Super Giants,"10,00,00,000 "
2022,Ankit Singh Rajpoot ,Indian ,Bowler , Lucknow Super Giants,"50,00,000 "
2022,K. Gowtham ,Indian ,All-Rounder , Lucknow Super Giants,"90,00,000 "
2022,Dushmanta Chameera ,Overseas ,Bowler , Lucknow Super Giants,"2,00,00,000 "
2022,Shahbaz Nadeem ,Indian ,Bowler , Lucknow Super Giants,"50,00,000 "
2022,Manan Vohra ,Indian ,Batsman , Lucknow Super Giants,"20,00,000 "
2022,Evin Lewis ,Overseas ,Batsman , Lucknow Super Giants,"2,00,00,000 "
2022,Mohsin Khan ,Indian ,Bowler , Lucknow Super Giants,"20,00,000 "
2022,Mayank Yadav ,Indian ,Bowler , Lucknow Super Giants,"20,00,000 "
2022,Ayush Badoni ,Indian ,All-Rounder , Lucknow Super Giants,"20,00,000 "
2022,Kyle Mayers ,Overseas ,All-Rounder , Lucknow Super Giants,"50,00,000 "
2022,Karan Sharma ,Indian ,All-Rounder , Lucknow Super Giants,"20,00,000 "
2022,Jason Holder ,Overseas ,All-Rounder , Lucknow Super Giants,"8,75,00,000 "
2022,Deepak Hooda ,Indian ,All-Rounder , Lucknow Super Giants,"5,75,00,000 "
2022,Ishan Kishan ,Indian ,Wicket Keeper , Mumbai Indians,"15,25,00,000 "
2022,Dewald Brevis ,Overseas ,Batsman , Mumbai Indians,"3,00,00,000 "
2022,Anmolpreet Singh ,Indian ,Batsman , Mumbai Indians,"20,00,000 "
2022,Basil Thampi ,Indian ,Bowler , Mumbai Indians,"30,00,000 "
2022,Murugan Ashwin ,Indian ,Bowler , Mumbai Indians,"1,60,00,000 "
2022,Jaydev Unadkat ,Indian ,Bowler , Mumbai Indians,"1,30,00,000 "
2022,Mayank Markande ,Indian ,Bowler , Mumbai Indians,"65,00,000 "
2022,N. Tilak Varma ,Indian ,All-Rounder , Mumbai Indians,"1,70,00,000 "
2022,Sanjay Yadav ,Indian ,All-Rounder , Mumbai Indians,"50,00,000 "
2022,Jofra Archer ,Overseas ,All-Rounder , Mumbai Indians,"8,00,00,000 "
2022,Daniel Sams ,Overseas ,All-Rounder , Mumbai Indians,"2,60,00,000 "
2022,Tymal Mills ,Overseas ,Bowler , Mumbai Indians,"1,50,00,000 "
2022,Tim David ,Overseas ,All-Rounder , Mumbai Indians,"8,25,00,000 "
2022,Ramandeep  Singh ,Indian ,All-Rounder , Mumbai Indians,"20,00,000 "
2022,Aryan Juyal ,Indian ,Wicket Keeper , Mumbai Indians,"20,00,000 "
2022,Fabian Allen ,Overseas ,All-Rounder , Mumbai Indians,"75,00,000 "
2022,Riley Meredith ,Overseas ,Bowler , Mumbai Indians,"1,00,00,000 "
2022,Rahul Buddhi ,Indian ,Batsman , Mumbai Indians,"20,00,000 "
2022,Hrithik Shokeen ,Indian ,All-Rounder , Mumbai Indians,"20,00,000 "
2022,Mohd. Arshad Khan ,Indian ,All-Rounder , Mumbai Indians,"20,00,000 "
2022,Arjun Tendulkar ,Indian ,All-Rounder , Mumbai Indians,"30,00,000 "
2022,Shikhar Dhawan ,Indian ,Batsman , Punjab Kings,"8,25,00,000 "
2022,Kagiso Rabada ,Overseas ,Bowler , Punjab Kings,"9,25,00,000 "
2022,Jonny Bairstow  ,Overseas ,Wicket Keeper , Punjab Kings,"6,75,00,000 "
2022,Rahul Chahar ,Indian ,Bowler , Punjab Kings,"5,25,00,000 "
2022,Harpreet  Brar ,Indian ,All-Rounder , Punjab Kings,"3,80,00,000 "
2022,Shahrukh Khan ,Indian ,All-Rounder , Punjab Kings,"9,00,00,000 "
2022,Jitesh Sharma ,Indian ,Wicket Keeper , Punjab Kings,"20,00,000 "
2022,Prabhsimran Singh ,Indian ,Wicket Keeper , Punjab Kings,"60,00,000 "
2022,Ishan Porel ,Indian ,Bowler , Punjab Kings,"25,00,000 "
2022,Liam Livingstone ,Overseas ,All-Rounder , Punjab Kings,"11,50,00,000 "
2022,Odean Smith ,Overseas ,All-Rounder , Punjab Kings,"6,00,00,000 "
2022,Sandeep Sharma ,Indian ,Bowler , Punjab Kings,"50,00,000 "
2022,Raj Angad Bawa ,Indian ,All-Rounder , Punjab Kings,"2,00,00,000 "
2022,Rishi Dhawan ,Indian ,All-Rounder , Punjab Kings,"55,00,000 "
2022,Nathan Ellis ,Overseas ,Bowler , Punjab Kings,"75,00,000 "
2022,Prerak Mankad ,Indian ,All-Rounder , Punjab Kings,"20,00,000 "
2022,Atharva Taide ,Indian ,All-Rounder , Punjab Kings,"20,00,000 "
2022,Vaibhav Arora ,Indian ,Bowler , Punjab Kings,"2,00,00,000 "
2022,Bhanuka Rajapaksa ,Overseas ,Batsman , Punjab Kings,"50,00,000 "
2022,Benny Howell ,Overseas ,All-Rounder , Punjab Kings,"40,00,000 "
2022,Writtick Chatterjee ,Indian ,All-Rounder , Punjab Kings,"20,00,000 "
2022,Baltej Dhanda ,Indian ,Bowler , Punjab Kings,"20,00,000 "
2022,Ansh Patel ,Indian ,All-Rounder , Punjab Kings,"20,00,000 "
2022,R. Ashwin ,Indian ,All-Rounder , Rajasthan Royals,"5,00,00,000 "
2022,Trent Boult ,Overseas ,Bowler , Rajasthan Royals,"8,00,00,000 "
2022,Shimron Hetmyer ,Overseas ,Batsman , Rajasthan Royals,"8,50,00,000 "
2022,Devdutt Padikkal ,Indian ,Batsman , Rajasthan Royals,"7,75,00,000 "
2022,Prasidh Krishna ,Indian ,Bowler , Rajasthan Royals,"10,00,00,000 "
2022,Yuzvendra Chahal ,Indian ,Bowler , Rajasthan Royals,"6,50,00,000 "
2022,Riyan Parag ,Indian ,All-Rounder , Rajasthan Royals,"3,80,00,000 "
2022,K.C. Cariappa ,Indian ,Bowler , Rajasthan Royals,"30,00,000 "
2022,James Neesham ,Overseas ,All-Rounder , Rajasthan Royals,"1,50,00,000 "
2022,Nathan Coulter-Nile ,Overseas ,Bowler , Rajasthan Royals,"2,00,00,000 "
2022,Navdeep Saini ,Indian ,Bowler , Rajasthan Royals,"2,60,00,000 "
2022,Kuldeep  Sen ,Indian ,Bowler , Rajasthan Royals,"20,00,000 "
2022,Karun Nair ,Indian ,Batsman , Rajasthan Royals,"1,40,00,000 "
2022,Rassie Van Der Dussen ,Overseas ,Batsman , Rajasthan Royals,"1,00,00,000 "
2022,Daryl Mitchell ,Overseas ,All-Rounder , Rajasthan Royals,"75,00,000 "
2022,Obed Mccoy ,Overseas ,Bowler , Rajasthan Royals,"75,00,000 "
2022,Dhruv Jurel ,Indian ,Wicket Keeper , Rajasthan Royals,"20,00,000 "
2022,Tejas Baroka ,Indian ,Bowler , Rajasthan Royals,"20,00,000 "
2022,Kuldip Yadav ,Indian ,Bowler , Rajasthan Royals,"20,00,000 "
2022,Shubham Garhwal ,Indian ,All-Rounder , Rajasthan Royals,"20,00,000 "
2022,Anunay Singh ,Indian ,All-Rounder , Rajasthan Royals,"20,00,000 "
