,Player,Runs,BF,4s,6s,Against,Venue,Match Date
0,Adam Gilchrist,109,42,9,10,MI,DY Patil Stadium,27 April 2008
1,Sanath Jayasuriya,114,45,9,11,CSK,Wankhede Stadium,14 May 2008
2,Andrew Symonds,117,47,11,7,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
3,Michael Hussey,116,50,8,9,PBKS,IS Bindra Stadium,19 April 2008
4,Brendon McCullum,158,53,10,13,RCB,M. Chinnaswamy Stadium,18 April 2008
5,Shaun Marsh,115,58,11,7,RR,IS Bindra Stadium,28 May 2008
6,Manish Pandey,114,67,10,4,DEC,Supersport Park,21 May 2009
7,Yusuf Pathan,100,37,9,8,MI,Brabourne Stadium,13 March 2010
8,Murali Vijay,127,46,8,11,RR,Chidambaram,03 April 2010
9,Mahela Jayawardena,110,55,14,3,KKR,Eden Gardens,04 April 2010
10,David Warner,107,66,9,5,KKR,Arun Jaitley Stadium,29 March 2010
11,Chris Gayle,107,46,10,9,PBKS,M. Chinnaswamy Stadium,06 May 2011
12,Virender Sehwag,119,48,13,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
13,Paul Valthaty,120,52,19,2,CSK,IS Bindra Stadium,13 April 2011
14,Adam Gilchrist,106,53,8,9,RCB,HPCA Stadium,17 May 2011
15,Chris Gayle,102,55,10,7,KKR,Eden Gardens,22 April 2011
16,Sachin Tendulkar,100,66,12,3,KTK,Wankhede Stadium,15 April 2011
17,Murali Vijay,113,51,15,4,DC,Chidambaram,25 May 2012
18,David Warner,109,52,10,7,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
19,Rohit Sharma,109,52,12,5,KKR,Eden Gardens,12 May 2012
20,Chris Gayle,128,53,7,13,DC,Arun Jaitley Stadium,17 May 2012
21,Ajinkya Rahane,103,58,12,5,RCB,M. Chinnaswamy Stadium,15 April 2012
22,Kevin Pietersen,103,64,6,9,DEC,Arun Jaitley Stadium,19 April 2012
23,Chris Gayle,175,30,13,17,PWI,M. Chinnaswamy Stadium,23 April 2013
24,David Miller,101,38,8,7,RCB,IS Bindra Stadium,06 May 2013
25,Suresh Raina,100,53,7,6,PBKS,Chidambaram,02 May 2013
26,Shane Watson,101,60,6,6,CSK,Chidambaram,22 April 2013
27,Wriddhiman Saha,115,49,10,8,KKR,M. Chinnaswamy Stadium,01 June 2014
28,Virender Sehwag,122,50,12,8,CSK,Wankhede Stadium,30 May 2014
29,Lendl Simmons,100,61,14,2,PBKS,IS Bindra Stadium,21 May 2014
30,Chris Gayle,117,46,7,12,PBKS,M. Chinnaswamy Stadium,06 May 2015
31,AB de Villiers,133,47,19,4,MI,Wankhede Stadium,10 May 2015
32,Brendon McCullum,100,56,7,9,SRH,Chidambaram,11 April 2015
33,Shane Watson,104,57,9,5,KKR,Brabourne Stadium,16 May 2015
34,AB de Villiers,129,43,10,12,GL,M. Chinnaswamy Stadium,14 May 2016
35,Virat Kohli,113,47,12,8,PBKS,M. Chinnaswamy Stadium,18 May 2016
36,Quinton de Kock,108,48,15,3,RCB,M. Chinnaswamy Stadium,17 April 2016
37,Virat Kohli,109,53,5,8,GL,M. Chinnaswamy Stadium,14 May 2016
38,Steve Smith,101,53,8,5,GL,Maharashtra Cricket Association's International Stadium,29 April 2016
39,Virat Kohli,108,56,8,7,RPS,M. Chinnaswamy Stadium,07 May 2016
40,Virat Kohli,100,63,11,1,GL,Saurashtra Cricket Association Stadium,24 April 2016
41,David Warner,126,43,10,8,KKR,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017
42,Hashim Amla,104,58,8,6,MI,Holkar Cricket Stadium,20 April 2017
43,Hashim Amla,104,59,8,5,GL,IS Bindra Stadium,07 May 2017
44,Ben Stokes,103,61,7,6,GL,Maharashtra Cricket Association's International Stadium,01 May 2017
45,Sanju Samson,102,62,8,5,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017
46,Shane Watson,117,51,11,8,SRH,Wankhede Stadium,27 May 2018
47,Shane Watson,106,51,9,6,RR,Maharashtra Cricket Association's International Stadium,20 April 2018
48,Rishabh Pant,128,56,15,7,SRH,Arun Jaitley Stadium,10 May 2018
49,Chris Gayle,104,58,1,11,SRH,IS Bindra Stadium,19 April 2018
50,Ambati Rayudu,100,62,7,7,SRH,Maharashtra Cricket Association's International Stadium,13 May 2018
51,Jonny Bairstow,114,52,12,7,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
52,Sanju Samson,102,54,10,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
53,David Warner,100,54,5,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
54,Virat Kohli,100,57,9,4,KKR,Eden Gardens,19 April 2019
55,Ajinkya Rahane,105,58,11,3,DC,Sawai Mansingh Stadium,22 April 2019
56,KL Rahul,100,63,6,6,MI,Wankhede Stadium,10 April 2019
57,Mayank Agarwal,106,45,10,7,RR,Sharjah Cricket Stadium,27 September 2020
58,Shikhar Dhawan,106,57,12,3,PBKS,Dubai International Stadium,20 October 2020
59,Shikhar Dhawan,101,57,14,1,CSK,Sharjah Cricket Stadium,17 October 2020
60,Ben Stokes,107,59,14,3,MI,Zayed Cricket Stadium,25 October 2020
61,KL Rahul,132,62,14,7,RCB,Dubai International Stadium,24 September 2020
62,Devdutt Padikkal,101,51,11,6,RR,Wankhede Stadium,22 April 2021
63,Sanju Samson,119,54,12,7,PBKS,Wankhede Stadium,12 April 2021
64,Jos Buttler,124,56,11,8,SRH,Arun Jaitley Stadium,02 May 2021
65,Ruturaj Gaikwad,101,60,9,5,RR,Zayed Cricket Stadium,02 October 2021
