,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
0,Sohail Tanvir,11,11,41.1,266,22,6/14,12.09,6.46,11.22,1,1
1,Shane Warne,15,15,52.0,404,19,3/19,21.26,7.76,16.42,0,0
2,Shanthakumaran Sreesanth,15,15,51.1,442,19,3/29,23.26,8.63,16.15,0,0
3,Shane Watson,15,15,54.1,383,17,3/10,22.52,7.07,19.11,0,0
4,Manpreet Gony,16,16,60.0,443,17,3/34,26.05,7.38,21.17,0,0
5,Piyush Chawla,15,15,46.5,389,17,3/25,22.88,8.3,16.52,0,0
6,Albie Morkel,13,13,48.0,399,17,4/32,23.47,8.31,16.94,1,0
7,Yo Mahesh,11,11,42.1,370,16,4/36,23.12,8.77,15.81,1,0
8,Irfan Pathan,14,14,53.0,350,15,2/18,23.33,6.6,21.2,0,0
9,MF Maharoof,10,10,36.0,249,15,3/34,16.6,6.91,14.4,0,0
10,RP Singh,14,14,51.2,442,15,3/35,29.46,8.61,20.53,0,0
11,Munaf Patel,15,15,55.0,420,14,3/17,30.0,7.63,23.57,0,0
12,Siddharth Trivedi,15,15,48.0,399,13,2/25,30.69,8.31,22.15,0,0
13,Zaheer Khan,11,11,42.0,357,13,3/38,27.46,8.5,19.38,0,0
14,Glenn McGrath,14,14,54.0,357,12,4/29,29.75,6.61,27.0,1,0
15,Ashish Nehra,14,14,44.5,348,12,3/13,29.0,7.76,22.41,0,0
16,Umar Gul,6,6,22.3,184,12,4/23,15.33,8.17,11.25,1,0
17,Shaun Pollock,13,13,46.0,301,11,3/12,27.36,6.54,25.09,0,0
18,Muttiah Muralitharan,15,15,58.0,404,11,2/39,36.72,6.96,31.63,0,0
19,Amit Mishra,6,6,19.5,142,11,5/17,12.9,7.15,10.81,0,1
20,Pragyan Ojha,13,12,37.0,284,11,2/18,25.81,7.67,20.18,0,0
21,Dhawal Kulkarni,10,10,29.3,236,11,3/33,21.45,8.0,16.09,0,0
22,Dwayne Bravo,9,9,28.3,232,11,3/24,21.09,8.14,15.54,0,0
23,Praveen Kumar,13,13,44.4,366,11,3/23,33.27,8.19,24.36,0,0
24,Lakshmipathy Balaji,9,9,33.0,286,11,5/24,26.0,8.66,18.0,0,1
25,Vikram Singh,13,13,48.0,420,11,3/29,38.18,8.75,26.18,0,0
26,Dale Steyn,10,10,38.0,252,10,3/27,25.2,6.63,22.8,0,0
27,Dilhara Fernando,5,5,20.0,160,10,4/18,16.0,8.0,12.0,1,0
28,Shahid Afridi,10,10,30.0,225,9,3/28,25.0,7.5,20.0,0,0
29,Ashok Dinda,13,12,38.0,258,8,3/33,32.25,6.78,28.5,0,0
30,Ishant Sharma,13,13,43.1,331,8,2/9,41.37,7.66,32.37,0,0
31,Ajit Agarkar,9,9,26.0,207,8,3/25,25.87,7.96,19.5,0,0
32,Yusuf Pathan,16,13,28.1,230,8,3/22,28.75,8.16,21.12,0,0
33,Mohammad Asif,8,8,32.0,296,8,2/19,37.0,9.25,24.0,0,0
34,Joginder Sharma,8,7,24.4,239,8,2/27,29.87,9.68,18.5,0,0
35,Makhaya Ntini,9,9,35.0,242,7,4/21,34.57,6.91,30.0,1,0
36,Anil Kumble,10,10,38.2,304,7,3/14,43.42,7.93,32.85,0,0
37,James Hopes,11,11,28.0,276,7,2/2,39.42,9.85,24.0,0,0
38,Palani Amarnath,6,6,22.0,236,7,2/29,33.71,10.72,18.85,0,0
39,Sourav Ganguly,13,7,20.0,128,6,2/21,21.33,6.4,20.0,0,0
40,Rajat Bhatia,9,9,22.0,183,6,2/17,30.5,8.31,22.0,0,0
41,Laxmi Ratan Shukla,13,9,12.0,124,6,3/6,20.66,10.33,12.0,0,0
42,Dwayne Smith,4,4,11.0,83,5,3/26,16.6,7.54,13.2,0,0
43,Shoaib Akhtar,3,3,7.0,54,5,4/11,10.8,7.71,8.4,1,0
44,Vinay Kumar,8,8,23.0,182,5,3/27,36.4,7.91,27.6,0,0
45,Harbhajan Singh,3,3,10.0,82,5,3/32,16.4,8.2,12.0,0,0
46,Rohan Raje,6,6,16.2,137,5,2/16,27.4,8.38,19.6,0,0
47,Chaminda Vaas,5,5,17.0,145,5,2/9,29.0,8.52,20.4,0,0
48,Pradeep Sangwan,7,7,24.0,215,5,2/29,43.0,8.95,28.8,0,0
49,Brett Lee,4,4,16.0,112,4,1/9,28.0,7.0,24.0,0,0
50,Sanath Jayasuriya,14,8,21.0,159,4,3/14,39.75,7.57,31.5,0,0
51,Paidikalva Vijaykumar,9,9,25.2,199,4,1/17,49.75,7.85,38.0,0,0
52,Sanjay Bangar,11,9,25.0,219,4,2/34,54.75,8.76,37.5,0,0
53,Jacques Kallis,11,11,34.2,311,4,2/39,77.75,9.05,51.5,0,0
54,Dominic Thornely,6,4,7.0,40,3,2/7,13.33,5.71,14.0,0,0
55,Scott Styris,8,8,27.0,199,3,1/24,66.33,7.37,54.0,0,0
56,Ramesh Powar,5,5,12.0,91,3,2/22,30.33,7.58,24.0,0,0
57,Murali Kartik,6,5,14.4,127,3,3/17,42.33,8.65,29.33,0,0
58,Yuvraj Singh,15,6,9.0,83,3,2/12,27.66,9.22,18.0,0,0
59,Jacob Oram,4,4,16.0,149,3,3/32,49.66,9.31,32.0,0,0
60,Gajendra Singh,4,4,14.0,141,3,1/33,47.0,10.07,28.0,0,0
61,Virender Sehwag,14,7,11.0,133,3,1/2,44.33,12.09,22.0,0,0
62,Daniel Vettori,2,2,8.0,54,2,1/19,27.0,6.75,24.0,0,0
63,Dimitri Mascarenhas,1,1,4.0,29,2,2/29,14.5,7.25,12.0,0,0
64,Balachandra Akhil,7,6,17.2,134,2,2/17,67.0,7.73,52.0,0,0
65,Virat Kohli,13,4,7.4,61,2,2/25,30.5,7.95,23.0,0,0
66,Nuwan Zoysa,3,3,11.0,99,2,1/30,49.5,9.0,33.0,0,0
67,Venugopal Rao,11,7,14.0,137,2,2/25,68.5,9.78,42.0,0,0
68,Siddharth Chitnis,3,2,6.0,60,2,2/40,30.0,10.0,18.0,0,0
69,Shoaib Malik,7,5,8.3,85,2,1/6,42.5,10.0,25.5,0,0
70,David Hussey,13,5,13.0,130,2,1/23,65.0,10.0,39.0,0,0
71,Musavir Khote,4,2,5.0,51,2,2/29,25.5,10.2,15.0,0,0
72,Doddapaneni Kalyankrishna,3,3,8.0,87,2,1/30,43.5,10.87,24.0,0,0
73,Tillakaratne Dilshan,7,1,1.0,3,1,1/3,3.0,3.0,6.0,0,0
74,Mohammad Hafeez,8,2,5.0,24,1,1/8,24.0,4.8,30.0,0,0
75,Ajantha Mendis,1,1,4.0,24,1,1/24,24.0,6.0,24.0,0,0
76,Rohit Sharma,13,1,4.0,25,1,1/25,25.0,6.25,24.0,0,0
77,PM Sarvesh Kumar,2,2,5.0,42,1,1/18,42.0,8.4,30.0,0,0
78,Sunil Joshi,4,4,9.1,82,1,1/27,82.0,8.94,55.0,0,0
79,Suresh Raina,16,2,3.2,30,1,1/20,30.0,9.0,20.0,0,0
80,Dwaraka Ravi Teja,7,1,2.0,19,1,1/19,19.0,9.5,12.0,0,0
81,Abhishek Nayar,14,5,7.0,68,1,1/18,68.0,9.71,42.0,0,0
82,Dinesh Salunkhe,6,5,7.5,78,1,1/21,78.0,9.95,47.0,0,0
83,Ashley Noffke,1,1,4.0,40,1,1/40,40.0,10.0,24.0,0,0
84,Andre Nel,1,1,3.0,31,1,1/31,31.0,10.33,18.0,0,0
85,Vidyut Sivaramakrishnan,9,1,2.0,22,1,1/22,22.0,11.0,12.0,0,0
86,Brett Geeves,2,2,8.0,91,1,1/50,91.0,11.37,48.0,0,0
87,Wilkin Mota,4,2,3.0,36,1,1/24,36.0,12.0,18.0,0,0
88,Iqbal Abdulla,1,1,3.0,22,0,0/22,0.0,7.33,0.0,0,0
89,Ravindra Jadeja,14,2,2.1,21,0,0/0,0.0,9.69,0.0,0,0
90,Pankaj Singh,5,5,12.0,129,0,0/12,0.0,10.75,0.0,0,0
91,Vikrant Yeligati,2,2,5.0,59,0,0/16,0.0,11.8,0.0,0,0
92,Karan Goel,7,1,2.0,25,0,0/25,0.0,12.5,0.0,0,0
93,Abdur Razzak,1,1,2.0,29,0,0/29,0.0,14.5,0.0,0,0
94,Andrew Symonds,4,3,6.5,101,0,0/20,0.0,14.78,0.0,0,0
95,Chamara Kapugedera,5,3,2.5,49,0,0/8,0.0,17.29,0.0,0,0
96,LPC Silva,3,1,1.0,21,0,0/21,0.0,21.0,0.0,0,0
97,Cameron White,8,1,1.0,24,0,0/24,0.0,24.0,0.0,0,0
98,RP Singh,16,16,59.4,417,23,4/22,18.13,6.98,15.56,1,0
99,Anil Kumble,16,16,59.1,347,21,5/5,16.52,5.86,16.9,1,1
100,Lasith Malinga,13,13,49.3,312,18,3/11,17.33,6.3,16.5,0,0
101,Pragyan Ojha,15,15,53.3,348,18,3/21,19.33,6.5,17.83,0,0
102,Irfan Pathan,14,14,50.2,390,17,3/35,22.94,7.74,17.76,0,0
103,Munaf Patel,11,11,34.5,241,16,2/14,15.06,6.91,13.06,0,0
104,Muttiah Muralitharan,13,13,50.0,261,14,3/11,18.64,5.22,21.42,0,0
105,Amit Mishra,11,11,42.1,294,14,3/14,21.0,6.97,18.07,0,0
106,Shane Warne,13,13,50.0,365,14,3/24,26.07,7.3,21.42,0,0
107,Yusuf Abdulla,9,9,28.0,241,14,4/31,17.21,8.6,12.0,2,0
108,Shadab Jakati,9,8,29.0,217,13,4/22,16.69,7.48,13.38,2,0
109,Praveen Kumar,13,13,49.4,394,13,3/30,30.3,7.93,22.92,0,0
110,Albie Morkel,12,12,40.0,324,13,2/13,24.92,8.1,18.46,0,0
111,Lakshmipathy Balaji,13,13,37.2,316,13,4/21,24.3,8.46,17.23,1,0
112,Harbhajan Singh,13,13,44.0,256,12,4/17,21.33,5.81,22.0,1,0
113,Piyush Chawla,14,14,44.5,308,12,2/22,25.66,6.86,22.41,0,0
114,Ishant Sharma,11,11,43.0,297,11,2/15,27.0,6.9,23.45,0,0
115,Ishant Sharma,11,11,43.0,297,11,2/15,27.0,6.9,23.45,0,0
116,Rohit Sharma,16,12,23.0,161,11,4/6,14.63,7.0,12.54,1,0
117,Dwayne Bravo,11,11,33.1,259,11,3/34,23.54,7.8,18.09,0,0
118,Amit Singh,5,5,17.3,95,9,4/19,10.55,5.42,11.66,1,0
119,Roelof van der Merwe,10,10,34.0,248,9,2/22,27.55,7.29,22.66,0,0
120,Vinay Kumar,11,11,32.2,271,9,2/30,30.11,8.38,21.55,0,0
121,Suresh Raina,14,10,27.4,164,7,2/17,23.42,5.92,23.71,0,0
122,Andrew Symonds,8,8,24.0,160,7,2/18,22.85,6.66,20.57,0,0
123,Yusuf Pathan,13,11,35.0,243,7,3/34,34.71,6.94,30.0,0,0
124,Brad Hodge,12,9,20.0,161,7,3/29,23.0,8.05,17.14,0,0
125,Sanath Jayasuriya,12,9,19.0,163,7,2/3,23.28,8.57,16.28,0,0
126,Ravindra Jadeja,13,10,23.2,151,6,3/15,25.16,6.47,23.33,0,0
127,Zaheer Khan,6,6,21.0,142,6,3/31,23.66,6.76,21.0,0,0
128,Dimitri Mascarenhas,5,5,19.2,132,6,3/20,22.0,6.82,19.33,0,0
129,Kamran Khan,5,5,17.4,124,6,3/18,20.66,7.01,17.66,0,0
130,Yuvraj Singh,14,9,20.0,142,6,3/13,23.66,7.1,20.0,0,0
131,Ryan Harris,8,8,31.0,230,6,3/27,38.33,7.41,31.0,0,0
132,Siddharth Trivedi,7,7,20.0,152,6,2/19,25.33,7.6,20.0,0,0
133,Jacques Kallis,15,14,46.0,353,6,2/18,58.83,7.67,46.0,0,0
134,Shanthakumaran Sreesanth,7,7,23.0,192,6,2/20,32.0,8.34,23.0,0,0
135,Ajit Agarkar,11,11,31.0,284,6,2/15,47.33,9.16,31.0,0,0
136,Brett Lee,5,5,20.0,111,5,3/15,22.2,5.55,24.0,0,0
137,Ramesh Powar,9,8,21.0,132,5,2/11,26.4,6.28,25.2,0,0
138,Sudeep Tyagi,8,8,19.0,136,5,2/18,27.2,7.15,22.8,0,0
139,Tirumalasetti Suman,12,5,15.0,108,5,2/14,21.6,7.2,18.0,0,0
140,Dhawal Kulkarni,8,8,26.0,206,5,1/21,41.2,7.92,31.2,0,0
141,Scott Styris,2,2,8.0,64,5,3/32,12.8,8.0,9.6,0,0
142,Jacob Oram,11,7,15.3,133,5,2/12,26.6,8.58,18.6,0,0
143,Shoaib Ahmed,7,7,17.0,152,5,2/20,30.4,8.94,20.4,0,0
144,Manpreet Gony,7,7,17.0,172,5,2/32,34.4,10.11,20.4,0,0
145,JP Duminy,13,6,17.3,93,4,2/15,23.25,5.31,26.25,0,0
146,Murali Kartik,10,10,34.0,201,4,2/28,50.25,5.91,51.0,0,0
147,Kevin Pietersen,6,4,13.0,85,4,2/31,21.25,6.53,19.5,0,0
148,Abhishek Nayar,13,4,12.0,84,4,3/13,21.0,7.0,18.0,0,0
149,Balachandra Akhil,6,5,11.0,80,4,2/18,20.0,7.27,16.5,0,0
150,Dillon du Preez,2,2,7.0,56,4,3/32,14.0,8.0,10.5,0,0
151,Ashok Dinda,9,8,24.0,193,4,1/24,48.25,8.04,36.0,0,0
152,Venugopal Rao,16,6,15.0,122,4,2/23,30.5,8.13,22.5,0,0
153,Chaminda Vaas,2,2,8.0,71,4,2/19,17.75,8.87,12.0,0,0
154,Charl Langeveldt,1,1,4.0,15,3,3/15,5.0,3.75,8.0,0,0
155,Johan Botha,3,3,12.0,74,3,2/19,24.66,6.16,24.0,0,0
156,Jesse Ryder,5,5,17.0,115,3,2/14,38.33,6.76,34.0,0,0
157,Wilkin Mota,8,5,9.0,61,3,1/6,20.33,6.77,18.0,0,0
158,Laxmi Ratan Shukla,9,5,14.0,100,3,3/25,33.33,7.14,28.0,0,0
159,Shane Harwood,3,3,10.0,73,3,2/25,24.33,7.3,20.0,0,0
160,Ajantha Mendis,4,4,16.0,117,3,2/19,39.0,7.31,32.0,0,0
161,Thilan Thushara,2,2,8.0,60,3,2/28,20.0,7.5,16.0,0,0
162,Harmeet Singh Bansal,7,7,22.5,192,3,2/23,64.0,8.4,45.66,0,0
163,Ravichandran Ashwin,2,1,4.0,13,2,2/13,6.5,3.25,12.0,0,0
164,Dale Steyn,3,3,9.0,62,2,1/21,31.0,6.88,27.0,0,0
165,Chetanya Nanda,3,3,8.0,57,2,1/4,28.5,7.12,24.0,0,0
166,KP Appanna,5,5,12.0,87,2,1/24,43.5,7.25,36.0,0,0
167,Sourav Ganguly,13,6,12.0,97,2,2/24,48.5,8.08,36.0,0,0
168,Joginder Sharma,4,4,7.0,57,2,1/10,28.5,8.14,21.0,0,0
169,Vikramjeet Malik,5,5,12.0,98,2,1/12,49.0,8.16,36.0,0,0
170,Moises Henriques,4,4,12.1,107,2,1/32,53.5,8.79,36.5,0,0
171,Pankaj Singh,3,3,7.0,65,2,2/31,32.5,9.28,21.0,0,0
172,Anureet Singh,3,2,5.0,47,2,2/35,23.5,9.4,15.0,0,0
173,Andrew Flintoff,3,3,11.0,105,2,1/11,52.5,9.54,33.0,0,0
174,Ajinkya Rahane,8,1,1.0,5,1,1/5,5.0,5.0,6.0,0,0
175,Lee Carseldine,5,1,1.0,6,1,1/6,6.0,6.0,6.0,0,0
176,Tyron Henderson,2,2,6.0,40,1,1/30,40.0,6.66,36.0,0,0
177,Graham Napier,1,1,4.0,27,1,1/27,27.0,6.75,24.0,0,0
178,Chris Gayle,7,7,18.5,144,1,1/21,144.0,7.64,113.0,0,0
179,Dwayne Smith,8,8,14.0,124,1,1/25,124.0,8.85,84.0,0,0
180,Vikram Singh,5,4,9.0,82,1,1/22,82.0,9.11,54.0,0,0
181,Rohan Raje,4,4,6.5,72,1,1/25,72.0,10.53,41.0,0,0
182,Ravi Bopara,5,2,1.2,5,0,0/1,0.0,3.75,0.0,0,0
183,Morne Morkel,2,2,7.0,40,0,0/20,0.0,5.71,0.0,0,0
184,Karan Goel,9,4,8.0,61,0,0/11,0.0,7.62,0.0,0,0
185,Virat Kohli,16,3,6.0,46,0,0/9,0.0,7.66,0.0,0,0
186,David Hussey,4,3,4.0,34,0,0/6,0.0,8.5,0.0,0,0
187,Abhishek Raut,9,4,4.0,36,0,0/6,0.0,9.0,0.0,0,0
188,Sachin Tendulkar,13,4,6.0,58,0,0/7,0.0,9.66,0.0,0,0
189,Abhimanyu Mithun,1,1,4.0,42,0,0/42,0.0,10.5,0.0,0,0
190,Jaskaran Singh,2,1,3.0,32,0,0/32,0.0,10.66,0.0,0,0
191,Rahil Shaikh,1,1,1.0,11,0,0/11,0.0,11.0,0.0,0,0
192,Ranadeb Bose,1,1,2.0,24,0,0/24,0.0,12.0,0.0,0,0
193,Ross Taylor,11,1,1.0,13,0,0/13,0.0,13.0,0.0,0,0
194,Angelo Mathews,1,1,2.2,31,0,0/31,0.0,13.28,0.0,0,0
195,Mashrafe Mortaza,1,1,4.0,58,0,0/58,0.0,14.5,0.0,0,0
196,Pragyan Ojha,16,16,58.5,429,21,3/26,20.42,7.29,16.8,0,0
197,Anil Kumble,16,16,63.2,407,17,4/16,23.94,6.42,22.35,1,0
198,Amit Mishra,14,14,53.0,363,17,3/25,21.35,6.84,18.7,0,0
199,Harbhajan Singh,15,14,53.3,377,17,3/31,22.17,7.04,18.88,0,0
200,Vinay Kumar,14,14,46.1,396,16,4/40,24.75,8.57,17.31,1,0
201,Muttiah Muralitharan,12,12,48.0,329,15,3/16,21.93,6.85,19.2,0,0
202,Dale Steyn,15,15,59.0,406,15,3/18,27.06,6.88,23.6,0,0
203,Lasith Malinga,13,13,49.0,344,15,4/22,22.93,7.02,19.6,1,0
204,Kieron Pollard,14,12,37.0,274,15,3/17,18.26,7.4,14.8,0,0
205,Zaheer Khan,14,14,48.2,376,15,3/21,25.06,7.77,19.33,0,0
206,Irfan Pathan,14,14,46.2,426,15,3/24,28.4,9.19,18.53,0,0
207,Ryan Harris,8,8,30.4,233,14,3/18,16.64,7.59,13.14,0,0
208,Ravichandran Ashwin,12,12,48.0,293,13,3/16,22.53,6.1,22.15,0,0
209,Shadab Jakati,11,11,38.0,291,13,2/17,22.38,7.65,17.53,0,0
210,Jacques Kallis,16,16,57.0,476,13,2/3,36.61,8.35,26.3,0,0
211,RP Singh,12,12,42.0,370,13,3/17,28.46,8.8,19.38,0,0
212,Doug Bollinger,8,8,31.0,207,12,4/13,17.25,6.67,15.5,1,0
213,Andrew Symonds,16,16,53.0,372,12,3/21,31.0,7.01,26.5,0,0
214,Piyush Chawla,14,14,49.0,367,12,3/24,30.58,7.48,24.5,0,0
215,Siddharth Trivedi,11,10,35.3,260,11,3/16,23.63,7.32,19.36,0,0
216,Shane Warne,14,14,50.0,381,11,4/21,34.63,7.62,27.27,1,0
217,Albie Morkel,14,14,47.4,405,11,2/23,36.81,8.49,26.0,0,0
218,Praveen Kumar,12,12,45.0,380,10,3/18,38.0,8.44,27.0,0,0
219,Shaun Tait,8,8,31.1,264,10,3/22,26.4,8.47,18.7,0,0
220,Chaminda Vaas,6,6,22.0,139,9,3/21,15.44,6.31,14.66,0,0
221,Murali Kartik,10,10,39.0,253,9,2/20,28.11,6.48,26.0,0,0
222,Ashok Dinda,7,7,23.1,152,9,2/15,16.88,6.56,15.44,0,0
223,Shane Bond,8,8,31.0,224,9,2/24,24.88,7.22,20.66,0,0
224,Pradeep Sangwan,8,8,31.0,258,9,3/22,28.66,8.32,20.66,0,0
225,Harmeet Singh Bansal,8,8,24.0,174,8,2/24,21.75,7.25,18.0,0,0
226,Angelo Mathews,14,12,37.3,314,8,4/19,39.25,8.37,28.12,1,0
227,MF Maharoof,7,7,24.0,206,8,2/13,25.75,8.58,18.0,0,0
228,Dirk Nannes,9,9,34.2,224,7,2/12,32.0,6.52,29.42,0,0
229,Dilhara Fernando,5,5,19.0,138,7,2/23,19.71,7.26,16.28,0,0
230,Lakshmipathy Balaji,7,7,23.2,207,7,2/9,29.57,8.87,20.0,0,0
231,Ishant Sharma,7,7,25.0,236,7,2/33,33.71,9.44,21.42,0,0
232,Ashish Nehra,4,4,14.0,96,6,3/26,16.0,6.85,14.0,0,0
233,Suresh Raina,16,12,23.5,178,6,1/0,29.66,7.46,23.83,0,0
234,Umesh Yadav,7,7,24.0,184,6,2/24,30.66,7.66,24.0,0,0
235,Juan Theron,7,7,24.0,187,6,2/17,31.16,7.79,24.0,0,0
236,Shane Watson,6,6,22.0,184,6,3/37,30.66,8.36,22.0,0,0
237,Shalabh Srivastava,8,8,27.0,255,6,2/23,42.5,9.44,27.0,0,0
238,Jaskaran Singh,6,6,14.0,139,6,2/18,23.16,9.92,14.0,0,0
239,Yuvraj Singh,14,10,23.0,152,5,2/21,30.4,6.6,27.6,0,0
240,Paul Collingwood,8,6,14.5,101,5,2/19,20.2,6.8,17.8,0,0
241,Thilan Thushara,4,4,14.3,101,5,2/16,20.2,6.96,17.4,0,0
242,Yusuf Pathan,14,11,34.0,246,5,2/9,49.2,7.23,40.8,0,0
243,Charl Langeveldt,3,3,11.0,88,5,2/26,17.6,8.0,13.2,0,0
244,Rahul Sharma,6,6,20.4,167,5,2/42,33.4,8.08,24.8,0,0
245,Ravi Bopara,10,5,13.0,127,5,3/31,25.4,9.76,15.6,0,0
246,Andrew McDonald,4,4,14.0,138,5,2/37,27.6,9.85,16.8,0,0
247,Aditya Dole,3,3,11.0,112,5,2/36,22.4,10.18,13.2,0,0
248,Sumit Narwal,5,5,15.4,185,5,3/36,37.0,11.8,18.8,0,0
249,Ryan McLaren,10,10,34.0,270,4,2/28,67.5,7.94,51.0,0,0
250,Dimitri Mascarenhas,2,2,8.0,65,4,2/31,16.25,8.12,12.0,0,0
251,Jaydev Unadkat,3,3,10.2,85,4,3/26,21.25,8.22,15.5,0,0
252,Dwayne Bravo,10,10,26.1,228,4,2/11,57.0,8.71,39.25,0,0
253,Ajit Agarkar,7,7,22.0,203,4,2/32,50.75,9.22,33.0,0,0
